year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0103
1922,0.0384
1923,0.07970000000000001
1924,0.13
1925,0.185
1926,0.239
1927,0.289
1928,0.331
1929,0.359
1930,0.369
1931,0.361
1932,0.338
1933,0.305
1934,0.264
1935,0.22
1936,0.176
1937,0.135
1938,0.102
1939,0.0792
1940,0.0709
1941,0.0723
1942,0.07629999999999999
1943,0.08270000000000001
1944,0.091
1945,0.101
1946,0.112
1947,0.124
1948,0.137
1949,0.15
1950,0.163
1951,0.177
1952,0.192
1953,0.209
1954,0.228
1955,0.248
1956,0.27
1957,0.294
1958,0.32
1959,0.347
1960,0.376
1961,0.408
1962,0.447
1963,0.492
1964,0.542
1965,0.598
1966,0.658
1967,0.723
1968,0.791
1969,0.864
1970,0.94
1971,1.03
1972,1.14
1973,1.26
1974,1.4
1975,1.54
1976,1.69
1977,1.84
1978,1.98
1979,2.12
1980,2.25
1981,2.38
1982,2.49
1983,2.61
1984,2.72
1985,2.84
1986,2.96
1987,3.09
1988,3.22
1989,3.36
1990,3.56
1991,3.95
1992,4.28
1993,7.27
1994,9.33
1995,12.0
1996,13.4
1997,16.6
1998,23.3
1999,36.3
2000,45.6
2001,62.8
2002,61.0
2003,84.3
2004,109.0
2005,150.0
2006,171.0
2007,137.0
2008,118.0
2009,157.0
2010,190.0
2011,201.0
2012,217.0
2013,249.0
2014,290.0
2015,227.0
2016,230.0
2017,231.0
2018,265.0
2019,305.0
2020,335.0
2021,406.0
2022,424.0
2023,441.0
2024,491.0
