year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0124
1922,0.045899999999999996
1923,0.0953
1924,0.155
1925,0.221
1926,0.286
1927,0.346
1928,0.395
1929,0.429
1930,0.441
1931,0.431
1932,0.404
1933,0.364
1934,0.316
1935,0.263
1936,0.21
1937,0.162
1938,0.122
1939,0.0947
1940,0.0847
1941,0.0864
1942,0.09129999999999999
1943,0.0989
1944,0.109
1945,0.121
1946,0.134
1947,0.149
1948,0.164
1949,0.18
1950,0.195
1951,0.211
1952,0.23
1953,0.25
1954,0.273
1955,0.297
1956,0.323
1957,0.352
1958,0.382
1959,0.415
1960,0.449
1961,0.488
1962,0.534
1963,0.586
1964,0.645
1965,0.71
1966,0.78
1967,0.855
1968,0.936
1969,1.02
1970,1.26
1971,1.38
1972,1.46
1973,1.74
1974,1.99
1975,1.81
1976,2.23
1977,2.53
1978,2.84
1979,3.05
1980,3.32
1981,3.5
1982,3.37
1983,4.0
1984,4.31
1985,4.43
1986,4.85
1987,5.2
1988,6.23
1989,6.86
1990,5.97
1991,4.01
1992,3.91
1993,8.94
1994,16.8
1995,8.9
1996,11.6
1997,19.8
1998,12.8
1999,52.2
2000,38.1
2001,50.4
2002,71.1
2003,84.3
2004,117.0
2005,147.0
2006,167.0
2007,147.0
2008,153.0
2009,155.0
2010,157.0
2011,170.0
2012,183.0
2013,218.0
2014,253.0
2015,242.0
2016,254.0
2017,267.0
2018,280.0
2019,292.0
2020,305.0
2021,318.0
