year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.393
1922,1.46
1923,3.03
1924,4.94
1925,7.02
1926,9.09
1927,11.0
1928,12.6
1929,13.6
1930,14.0
1931,13.7
1932,12.9
1933,11.6
1934,10.0
1935,8.36
1936,6.68
1937,5.14
1938,3.87
1939,3.01
1940,2.69
1941,2.75
1942,2.9
1943,3.14
1944,3.46
1945,3.84
1946,4.26
1947,4.72
1948,5.21
1949,5.71
1950,6.2
1951,6.72
1952,7.31
1953,7.95
1954,8.67
1955,9.44
1956,10.3
1957,11.2
1958,12.1
1959,13.2
1960,14.3
1961,15.5
1962,17.0
1963,18.7
1964,20.6
1965,22.7
1966,25.0
1967,27.5
1968,30.1
1969,32.9
1970,35.8
1971,39.2
1972,43.3
1973,48.0
1974,53.1
1975,58.6
1976,64.3
1977,70.0
1978,75.6
1979,80.9
1980,85.8
1981,90.5
1982,94.9
1983,99.3
1984,104.0
1985,108.0
1986,113.0
1987,117.0
1988,123.0
1989,128.0
1990,129.0
1991,124.0
1992,126.0
1993,120.0
1994,131.0
1995,160.0
1996,175.0
1997,199.0
1998,226.0
1999,219.0
2000,231.0
2001,225.0
2002,229.0
2003,227.0
2004,245.0
2005,260.0
2006,274.0
2007,298.0
2008,315.0
2009,316.0
2010,337.0
2011,349.0
2012,364.0
2013,376.0
2014,393.0
2015,388.0
2016,395.0
2017,408.0
2018,413.0
2019,412.0
2020,414.0
2021,419.0
2022,425.0
