year,IPC1,IPC4,IPCMAG
1750,0.00227,0.00207,0.0030800000000000003
1751,0.00227,0.00207,0.0030800000000000003
1752,0.00227,0.00207,0.0030800000000000003
1753,0.00227,0.00207,0.00309
1754,0.00227,0.00207,0.00309
1755,0.00227,0.00207,0.00309
1756,0.00227,0.00207,0.00309
1757,0.00227,0.00207,0.00309
1758,0.00227,0.00207,0.00309
1759,0.00227,0.00207,0.00309
1760,0.00227,0.00207,0.00309
1761,0.00227,0.00207,0.00309
1762,0.00227,0.00207,0.00309
1763,0.00227,0.00207,0.0031
1764,0.00227,0.0020800000000000003,0.0031
1765,0.00227,0.0020800000000000003,0.0031
1766,0.00228,0.0020800000000000003,0.0031
1767,0.00228,0.0020800000000000003,0.0031
1768,0.00228,0.0020800000000000003,0.0031
1769,0.00228,0.0020800000000000003,0.0031
1770,0.00228,0.0020800000000000003,0.0031
1771,0.00228,0.0020800000000000003,0.0031
1772,0.00228,0.0020800000000000003,0.00311
1773,0.00228,0.0020800000000000003,0.00311
1774,0.00228,0.0020800000000000003,0.00311
1775,0.00228,0.0020800000000000003,0.00311
1776,0.00228,0.0020800000000000003,0.00311
1777,0.00228,0.0020800000000000003,0.00311
1778,0.00228,0.0020800000000000003,0.00311
1779,0.00228,0.00209,0.00311
1780,0.00228,0.00209,0.00311
1781,0.00228,0.00209,0.00311
1782,0.00228,0.00209,0.00312
1783,0.00228,0.00209,0.00312
1784,0.00228,0.00209,0.00312
1785,0.00228,0.00209,0.00312
1786,0.00228,0.00209,0.00312
1787,0.00228,0.00209,0.00312
1788,0.00229,0.00209,0.00312
1789,0.00229,0.00209,0.00312
1790,0.00229,0.00209,0.00312
1791,0.00229,0.00209,0.00312
1792,0.00229,0.00209,0.00313
1793,0.00229,0.0021000000000000003,0.00313
1794,0.00229,0.0021000000000000003,0.00313
1795,0.00229,0.0021000000000000003,0.00313
1796,0.00229,0.0021000000000000003,0.00313
1797,0.00229,0.0021000000000000003,0.00313
1798,0.00229,0.0021000000000000003,0.00313
1799,0.00229,0.0021000000000000003,0.00313
1800,0.00229,0.0021000000000000003,0.00313
1801,0.00229,0.0021000000000000003,0.00314
1802,0.00229,0.0021000000000000003,0.00314
1803,0.00229,0.0021000000000000003,0.00314
1804,0.00229,0.0021000000000000003,0.00314
1805,0.00229,0.0021000000000000003,0.00314
1806,0.00229,0.0021000000000000003,0.00314
1807,0.00229,0.00211,0.00314
1808,0.00229,0.00211,0.00314
1809,0.00229,0.00211,0.00314
1810,0.00229,0.00211,0.00314
1811,0.00229,0.00211,0.00315
1812,0.0023,0.00211,0.00315
1813,0.0023,0.00211,0.00315
1814,0.0023,0.00211,0.00316
1815,0.0023,0.00212,0.00316
1816,0.0023,0.00212,0.00316
1817,0.0023,0.00212,0.00316
1818,0.00231,0.00212,0.00317
1819,0.00231,0.00212,0.00317
1820,0.00231,0.00213,0.00317
1821,0.00231,0.00213,0.00317
1822,0.00231,0.00213,0.00318
1823,0.00231,0.00213,0.00318
1824,0.00231,0.00213,0.00318
1825,0.00232,0.00213,0.00318
1826,0.00232,0.00214,0.00319
1827,0.00232,0.00214,0.00319
1828,0.00232,0.00214,0.00319
1829,0.00232,0.00214,0.0032
1830,0.00232,0.00214,0.0032
1831,0.00232,0.00214,0.0032
1832,0.00233,0.00215,0.0032
1833,0.00233,0.00215,0.00321
1834,0.00233,0.00215,0.00321
1835,0.00233,0.00215,0.00321
1836,0.00233,0.00215,0.00321
1837,0.00233,0.00216,0.00322
1838,0.00233,0.00216,0.00322
1839,0.00234,0.00216,0.00322
1840,0.00234,0.00216,0.00322
1841,0.00234,0.00216,0.00323
1842,0.00234,0.00216,0.00323
1843,0.00234,0.00217,0.00323
1844,0.00234,0.00217,0.0032400000000000003
1845,0.00234,0.00217,0.0032400000000000003
1846,0.00234,0.00217,0.0032400000000000003
1847,0.00235,0.00217,0.0032400000000000003
1848,0.00235,0.00218,0.00325
1849,0.00235,0.00218,0.00325
1850,0.00235,0.00218,0.00325
1851,0.0023799999999999997,0.00218,0.00325
1852,0.0024100000000000002,0.00218,0.00326
1853,0.00244,0.00218,0.00326
1854,0.00246,0.00219,0.00326
1855,0.00249,0.00219,0.00327
1856,0.00252,0.00219,0.00327
1857,0.0025499999999999997,0.00219,0.00327
1858,0.0025800000000000003,0.00219,0.00327
1859,0.00261,0.0022,0.00328
1860,0.00264,0.0022,0.00328
1861,0.00267,0.0022,0.00329
1862,0.0027,0.00221,0.00329
1863,0.00275,0.00221,0.0033
1864,0.00278,0.00222,0.00331
1865,0.00281,0.00222,0.00331
1866,0.0028399999999999996,0.00222,0.00332
1867,0.00287,0.0022299999999999998,0.00333
1868,0.0029,0.0022299999999999998,0.00333
1869,0.0029300000000000003,0.0022400000000000002,0.0033399999999999997
1870,0.00296,0.0022400000000000002,0.00335
1871,0.00299,0.00225,0.00335
1872,0.00302,0.00225,0.0033599999999999997
1873,0.0030499999999999998,0.00226,0.00337
1874,0.0030800000000000003,0.00226,0.00337
1875,0.00311,0.00227,0.0033799999999999998
1876,0.00314,0.00227,0.0033900000000000002
1877,0.00317,0.00227,0.0033900000000000002
1878,0.0032,0.00228,0.0034
1879,0.00323,0.00228,0.0034100000000000003
1880,0.00326,0.00229,0.0034100000000000003
1881,0.00329,0.00229,0.00342
1882,0.00332,0.0023,0.0034300000000000003
1883,0.0033599999999999997,0.0023,0.00344
1884,0.0033900000000000002,0.00231,0.00344
1885,0.00342,0.00231,0.0034500000000000004
1886,0.0034500000000000004,0.00232,0.00346
1887,0.00348,0.00232,0.00346
1888,0.0035099999999999997,0.00233,0.00347
1889,0.00354,0.00233,0.00348
1890,0.0035800000000000003,0.00233,0.00348
1891,0.00361,0.00234,0.00349
1892,0.00364,0.00234,0.0035
1893,0.00367,0.00235,0.0035099999999999997
1894,0.0037099999999999998,0.00235,0.0035099999999999997
1895,0.0037400000000000003,0.0023599999999999997,0.00352
1896,0.00377,0.0023599999999999997,0.0035299999999999997
1897,0.00381,0.00237,0.0035299999999999997
1898,0.0038399999999999997,0.00237,0.00354
1899,0.0038799999999999998,0.0023799999999999997,0.0035499999999999998
1900,0.00391,0.0023799999999999997,0.0035600000000000002
1901,0.004019999999999999,0.00239,0.00357
1902,0.00413,0.0024,0.0035800000000000003
1903,0.00424,0.0024100000000000002,0.0036
1904,0.00435,0.00242,0.00361
1905,0.0044599999999999996,0.0024300000000000003,0.00363
1906,0.00458,0.00244,0.00364
1907,0.004690000000000001,0.0024500000000000004,0.00366
1908,0.00481,0.00246,0.00367
1909,0.00495,0.0024700000000000004,0.00369
1910,0.0050999999999999995,0.00248,0.0037
1911,0.00524,0.00254,0.00378
1912,0.00539,0.00259,0.0038599999999999997
1913,0.00555,0.00264,0.00394
1914,0.0057,0.0027,0.004019999999999999
1915,0.005860000000000001,0.00275,0.0040999999999999995
1916,0.006019999999999999,0.0028,0.00418
1917,0.00618,0.0028599999999999997,0.00426
1918,0.00635,0.0029100000000000003,0.00434
1919,0.00652,0.00296,0.00442
1920,0.0067,0.00302,0.0045
1921,0.0068200000000000005,0.0030800000000000003,0.0046
1922,0.00737,0.00314,0.004690000000000001
1923,0.007730000000000001,0.00321,0.00479
1924,0.0076100000000000004,0.00327,0.00488
1925,0.0076500000000000005,0.00333,0.00498
1926,0.00763,0.0034,0.00507
1927,0.00787,0.00346,0.00517
