year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,7.38e-08
1922,2.74e-07
1923,5.69e-07
1924,9.28e-07
1925,1.32e-06
1926,1.71e-06
1927,2.0699999999999997e-06
1928,2.3600000000000003e-06
1929,2.56e-06
1930,2.64e-06
1931,2.58e-06
1932,2.41e-06
1933,2.18e-06
1934,1.89e-06
1935,1.57e-06
1936,1.26e-06
1937,9.66e-07
1938,7.280000000000001e-07
1939,5.66e-07
1940,5.06e-07
1941,5.16e-07
1942,5.45e-07
1943,5.91e-07
1944,6.499999999999999e-07
1945,7.21e-07
1946,8.009999999999999e-07
1947,8.88e-07
1948,9.79e-07
1949,1.07e-06
1950,1.17e-06
1951,1.26e-06
1952,1.37e-06
1953,1.49e-06
1954,1.6299999999999999e-06
1955,1.77e-06
1956,1.93e-06
1957,2.1e-06
1958,2.2799999999999998e-06
1959,2.48e-06
1960,2.68e-06
1961,2.9099999999999997e-06
1962,3.19e-06
1963,3.5e-06
1964,3.85e-06
1965,4.24e-06
1966,4.66e-06
1967,5.11e-06
1968,5.590000000000001e-06
1969,6.1e-06
1970,6.629999999999999e-06
1971,7.25e-06
1972,8.01e-06
1973,8.880000000000001e-06
1974,9.839999999999999e-06
1975,1.09e-05
1976,1.1900000000000001e-05
1977,1.3e-05
1978,1.4e-05
1979,1.4999999999999999e-05
1980,1.59e-05
1981,1.68e-05
1982,1.76e-05
1983,1.84e-05
1984,1.93e-05
1985,2.01e-05
1986,2.1000000000000002e-05
1987,2.19e-05
1988,2.2800000000000002e-05
1989,2.3800000000000003e-05
1990,2.3800000000000003e-05
1991,0.000156
1992,0.000247
1993,0.000384
1994,0.0009
1995,0.00152
1996,0.00234
1997,0.00319
1998,0.00428
1999,0.00617
2000,0.0114
2001,0.0156
2002,0.019600000000000003
2003,0.024300000000000002
2004,0.029
2005,0.0346
2006,0.07740000000000001
2007,0.127
2008,0.221
2009,0.523
2010,0.477
2011,0.712
2012,0.682
2013,0.643
2014,0.595
2015,0.57
2016,0.531
2017,0.502
2018,0.46
2019,0.54
2020,0.592
2021,0.648
2022,0.675
2023,0.718
