year,IPC4,IPCMAG
1750,5.84e-06,1.5100000000000002e-06
1751,5.8700000000000005e-06,1.5100000000000002e-06
1752,5.9e-06,1.52e-06
1753,5.93e-06,1.53e-06
1754,5.96e-06,1.5399999999999999e-06
1755,6e-06,1.55e-06
1756,6.03e-06,1.55e-06
1757,6.0600000000000004e-06,1.5599999999999999e-06
1758,6.09e-06,1.57e-06
1759,6.12e-06,1.5800000000000001e-06
1760,6.15e-06,1.59e-06
1761,6.18e-06,1.59e-06
1762,6.21e-06,1.6000000000000001e-06
1763,6.25e-06,1.61e-06
1764,6.28e-06,1.62e-06
1765,6.31e-06,1.6299999999999999e-06
1766,6.34e-06,1.64e-06
1767,6.38e-06,1.64e-06
1768,6.41e-06,1.65e-06
1769,6.44e-06,1.66e-06
1770,6.47e-06,1.67e-06
1771,6.51e-06,1.68e-06
1772,6.54e-06,1.6900000000000001e-06
1773,6.58e-06,1.6999999999999998e-06
1774,6.61e-06,1.6999999999999998e-06
1775,6.64e-06,1.71e-06
1776,6.68e-06,1.72e-06
1777,6.71e-06,1.73e-06
1778,6.75e-06,1.74e-06
1779,6.7799999999999995e-06,1.75e-06
1780,6.81e-06,1.76e-06
1781,6.8500000000000005e-06,1.77e-06
1782,6.89e-06,1.78e-06
1783,6.92e-06,1.79e-06
1784,6.96e-06,1.79e-06
1785,6.99e-06,1.8e-06
1786,7.03e-06,1.81e-06
1787,7.06e-06,1.82e-06
1788,7.100000000000001e-06,1.83e-06
1789,7.139999999999999e-06,1.84e-06
1790,7.17e-06,1.85e-06
1791,7.2100000000000004e-06,1.8600000000000002e-06
1792,7.25e-06,1.8699999999999999e-06
1793,7.29e-06,1.88e-06
1794,7.32e-06,1.89e-06
1795,7.36e-06,1.9e-06
1796,7.4e-06,1.91e-06
1797,7.440000000000001e-06,1.9200000000000003e-06
1798,7.4700000000000005e-06,1.93e-06
1799,7.51e-06,1.94e-06
1800,7.5500000000000006e-06,1.95e-06
1801,7.59e-06,1.96e-06
1802,7.63e-06,1.9699999999999998e-06
1803,7.67e-06,1.98e-06
1804,7.709999999999999e-06,1.99e-06
1805,7.75e-06,2e-06
1806,7.79e-06,2.0100000000000002e-06
1807,7.83e-06,2.02e-06
1808,7.870000000000001e-06,2.03e-06
1809,7.91e-06,2.04e-06
1810,7.95e-06,2.0500000000000003e-06
1811,7.99e-06,2.06e-06
1812,8.040000000000001e-06,2.0699999999999997e-06
1813,8.08e-06,2.08e-06
1814,8.12e-06,2.1e-06
1815,8.17e-06,2.1099999999999997e-06
1816,8.210000000000001e-06,2.12e-06
1817,8.26e-06,2.13e-06
1818,8.3e-06,2.14e-06
1819,8.34e-06,2.15e-06
1820,8.39e-06,2.16e-06
1821,8.439999999999999e-06,2.18e-06
1822,8.48e-06,2.19e-06
1823,8.53e-06,2.2e-06
1824,8.57e-06,2.21e-06
1825,8.619999999999999e-06,2.2200000000000003e-06
1826,8.67e-06,2.2399999999999997e-06
1827,8.710000000000001e-06,2.2499999999999996e-06
1828,8.76e-06,2.26e-06
1829,8.81e-06,2.27e-06
1830,8.85e-06,2.2799999999999998e-06
1831,8.9e-06,2.3e-06
1832,8.949999999999999e-06,2.31e-06
1833,8.999999999999999e-06,2.32e-06
1834,9.050000000000001e-06,2.33e-06
1835,9.100000000000001e-06,2.35e-06
1836,9.15e-06,2.3600000000000003e-06
1837,9.2e-06,2.37e-06
1838,9.25e-06,2.39e-06
1839,9.299999999999999e-06,2.4e-06
1840,9.35e-06,2.41e-06
1841,9.4e-06,2.4199999999999997e-06
1842,9.45e-06,2.44e-06
1843,9.5e-06,2.45e-06
1844,9.55e-06,2.4599999999999997e-06
1845,9.610000000000001e-06,2.48e-06
1846,9.66e-06,2.49e-06
1847,9.71e-06,2.5e-06
1848,9.76e-06,2.52e-06
1849,9.81e-06,2.5300000000000003e-06
1850,9.87e-06,2.55e-06
1851,9.92e-06,2.56e-06
1852,9.98e-06,2.57e-06
1853,1e-05,2.5899999999999998e-06
1854,1.01e-05,2.5999999999999997e-06
1855,1.01e-05,2.62e-06
1856,1.02e-05,2.63e-06
1857,1.02e-05,2.64e-06
1858,1.03e-05,2.66e-06
1859,1.0399999999999999e-05,2.6700000000000003e-06
1860,1.0399999999999999e-05,2.69e-06
1861,1.0399999999999999e-05,2.7e-06
1862,1.0500000000000001e-05,2.7e-06
1863,1.0500000000000001e-05,2.7100000000000003e-06
1864,1.06e-05,2.7200000000000002e-06
1865,1.06e-05,2.7299999999999997e-06
1866,1.06e-05,2.74e-06
1867,1.07e-05,2.75e-06
1868,1.07e-05,2.76e-06
1869,1.07e-05,2.7699999999999997e-06
1870,1.08e-05,2.78e-06
1871,1.08e-05,2.79e-06
1872,1.08e-05,2.8e-06
1873,1.09e-05,2.81e-06
1874,1.09e-05,2.82e-06
1875,1.1e-05,2.83e-06
1876,1.1e-05,2.84e-06
1877,1.1e-05,2.8500000000000002e-06
1878,1.11e-05,2.86e-06
1879,1.11e-05,2.87e-06
1880,1.11e-05,2.87e-06
1881,1.12e-05,2.8800000000000004e-06
1882,1.12e-05,2.8900000000000003e-06
1883,1.1299999999999999e-05,2.8999999999999998e-06
1884,1.1299999999999999e-05,2.9099999999999997e-06
1885,1.1299999999999999e-05,2.92e-06
1886,1.1400000000000001e-05,2.93e-06
1887,1.1400000000000001e-05,2.94e-06
1888,1.15e-05,2.95e-06
1889,1.15e-05,2.96e-06
1890,1.15e-05,2.97e-06
1891,1.1599999999999999e-05,2.98e-06
1892,1.1599999999999999e-05,2.99e-06
1893,1.1599999999999999e-05,3e-06
1894,1.17e-05,3.0200000000000003e-06
1895,1.17e-05,3.0300000000000002e-06
1896,1.18e-05,3.04e-06
1897,1.18e-05,3.05e-06
1898,1.18e-05,3.06e-06
1899,1.1900000000000001e-05,3.07e-06
1900,1.1900000000000001e-05,3.0799999999999997e-06
1901,1.2e-05,3.09e-06
1902,1.2e-05,3.1e-06
1903,1.2e-05,3.11e-06
1904,1.21e-05,3.1199999999999998e-06
1905,1.21e-05,3.13e-06
1906,1.22e-05,3.14e-06
1907,1.22e-05,3.15e-06
1908,1.23e-05,3.1600000000000002e-06
1909,1.23e-05,3.17e-06
1910,1.23e-05,3.18e-06
