year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.00109
1922,0.00405
1923,0.008400000000000001
1924,0.013699999999999999
1925,0.0195
1926,0.0252
1927,0.0305
1928,0.0349
1929,0.0378
1930,0.0389
1931,0.038
1932,0.0356
1933,0.032100000000000004
1934,0.027800000000000002
1935,0.0232
1936,0.0185
1937,0.0143
1938,0.0107
1939,0.00835
1940,0.00747
1941,0.00762
1942,0.00805
1943,0.00872
1944,0.00959
1945,0.0106
1946,0.011800000000000001
1947,0.013099999999999999
1948,0.0145
1949,0.0158
1950,0.0172
1951,0.018600000000000002
1952,0.020300000000000002
1953,0.0221
1954,0.024
1955,0.026199999999999998
1956,0.0285
1957,0.031
1958,0.0337
1959,0.0365
1960,0.0396
1961,0.043
1962,0.0471
1963,0.0517
1964,0.0569
1965,0.0626
1966,0.0688
1967,0.07540000000000001
1968,0.0825
1969,0.09
1970,0.0978
1971,0.107
1972,0.118
1973,0.131
1974,0.145
1975,0.16
1976,0.176
1977,0.191
1978,0.207
1979,0.221
1980,0.235
1981,0.248
1982,0.26
1983,0.272
1984,0.284
1985,0.297
1986,0.309
1987,0.323
1988,0.337
1989,0.352
1990,0.351
1991,0.351
1992,0.351
1993,0.351
1994,0.351
1995,0.388
1996,0.0727
1997,0.139
1998,0.222
1999,0.322
2000,0.47
2001,0.662
2002,0.928
2003,1.21
2004,1.5
2005,2.07
2006,2.4
2007,2.85
2008,3.26
2009,3.53
2010,3.9
2011,4.13
2012,4.47
2013,4.96
2014,5.04
2015,5.16
2016,5.34
2017,5.29
2018,5.05
2019,4.66
2020,4.43
2021,4.24
2022,4.28
