year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,1.93e-06
1922,7.15e-06
1923,1.49e-05
1924,2.42e-05
1925,3.44e-05
1926,4.46e-05
1927,5.39e-05
1928,6.16e-05
1929,6.69e-05
1930,6.88e-05
1931,6.72e-05
1932,6.3e-05
1933,5.6800000000000005e-05
1934,4.92e-05
1935,4.1e-05
1936,3.2800000000000004e-05
1937,2.52e-05
1938,1.9e-05
1939,1.48e-05
1940,1.32e-05
1941,1.35e-05
1942,1.4200000000000001e-05
1943,1.54e-05
1944,1.7e-05
1945,1.88e-05
1946,2.09e-05
1947,2.3199999999999998e-05
1948,2.55e-05
1949,2.8e-05
1950,3.04e-05
1951,3.3e-05
1952,3.5799999999999996e-05
1953,3.9e-05
1954,4.25e-05
1955,4.63e-05
1956,5.04e-05
1957,5.4800000000000004e-05
1958,5.96e-05
1959,6.46e-05
1960,7.000000000000001e-05
1961,7.61e-05
1962,8.340000000000001e-05
1963,9.17e-05
1964,0.000101
1965,0.000112
1966,0.000123
1967,0.000135
1968,0.000148
1969,0.000161
1970,0.000175
1971,0.000192
1972,0.000212
1973,0.000235
1974,0.00026000000000000003
1975,0.000287
1976,0.000315
1977,0.00034300000000000004
1978,0.00037
1979,0.000397
1980,0.000421
1981,0.000443
1982,0.000465
1983,0.00048699999999999997
1984,0.000508
1985,0.00053
1986,0.0005520000000000001
1987,0.0005759999999999999
1988,0.000601
1989,0.000627
1990,0.000626
1991,0.00409
1992,0.0064800000000000005
1993,0.0105
1994,0.0247
1995,0.0423
1996,0.0665
1997,0.0917
1998,0.125
1999,0.182
2000,0.329
2001,0.45
2002,0.567
2003,0.7
2004,0.834
2005,0.997
2006,1.05
2007,1.07
2008,1.12
2009,1.15
2010,1.15
2011,1.15
2012,1.18
2013,1.21
2014,1.32
2015,1.46
2016,1.66
2017,1.87
2018,2.12
2019,2.34
2020,2.56
2021,2.81
2022,3.04
2023,3.27
