year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,1.8199999999999998e-08
1942,6.880000000000001e-08
1943,1.46e-07
1944,2.45e-07
1945,3.5899999999999997e-07
1946,4.82e-07
1947,6.089999999999999e-07
1948,7.35e-07
1949,8.52e-07
1950,9.57e-07
1951,1.05e-06
1952,1.15e-06
1953,1.24e-06
1954,1.34e-06
1955,1.4400000000000002e-06
1956,1.53e-06
1957,1.6299999999999999e-06
1958,1.72e-06
1959,1.82e-06
1960,1.9200000000000003e-06
1961,2.0100000000000002e-06
1962,2.08e-06
1963,2.16e-06
1964,2.2300000000000002e-06
1965,2.3e-06
1966,2.38e-06
1967,2.48e-06
1968,2.5899999999999998e-06
1969,2.7200000000000002e-06
1970,2.8800000000000004e-06
1971,3.19e-06
1972,3.7200000000000004e-06
1973,4.45e-06
1974,5.3400000000000005e-06
1975,6.3299999999999995e-06
1976,7.3899999999999995e-06
1977,8.48e-06
1978,9.56e-06
1979,1.06e-05
1980,1.15e-05
1981,1.25e-05
1982,1.35e-05
1983,1.46e-05
1984,1.58e-05
1985,1.6899999999999997e-05
1986,1.7899999999999998e-05
1987,1.88e-05
1988,1.95e-05
1989,2e-05
1990,1.91e-05
1991,2.09e-05
1992,2.2e-05
1993,2.0799999999999997e-05
1994,1.96e-05
1995,1.7999999999999997e-05
1996,2.02e-05
1997,2.12e-05
1998,2.1499999999999997e-05
1999,2.4500000000000003e-05
2000,2.76e-05
2001,2.88e-05
2002,2.99e-05
2003,3.08e-05
2004,3.2099999999999994e-05
2005,3.33e-05
2006,3.5499999999999996e-05
2007,3.74e-05
2008,3.9399999999999995e-05
2009,4.14e-05
2010,4.34e-05
2011,4.5400000000000006e-05
2012,4.74e-05
2013,4.9500000000000004e-05
2014,5.15e-05
2015,5.35e-05
2016,5.55e-05
2017,5.75e-05
2018,5.9499999999999996e-05
2019,6.15e-05
2020,6.35e-05
2021,6.560000000000001e-05
2022,6.769999999999999e-05
2023,6.98e-05
