year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,1.62e-05
1922,6.03e-05
1923,0.000125
1924,0.000204
1925,0.00029
1926,0.000375
1927,0.00045400000000000003
1928,0.000519
1929,0.0005629999999999999
1930,0.000579
1931,0.000566
1932,0.000531
1933,0.00047799999999999996
1934,0.000415
1935,0.000345
1936,0.00027600000000000004
1937,0.000212
1938,0.00016
1939,0.000124
1940,0.000111
1941,0.00011300000000000001
1942,0.00011999999999999999
1943,0.00013000000000000002
1944,0.00014299999999999998
1945,0.000158
1946,0.000176
1947,0.000195
1948,0.000215
1949,0.000236
1950,0.000256
1951,0.00027800000000000004
1952,0.00030199999999999997
1953,0.000328
1954,0.000358
1955,0.00039
1956,0.000424
1957,0.000462
1958,0.000502
1959,0.000544
1960,0.000589
1961,0.00064
1962,0.0007009999999999999
1963,0.0007700000000000001
1964,0.000847
1965,0.0009320000000000001
1966,0.00102
1967,0.0011200000000000001
1968,0.00123
1969,0.00134
1970,0.00146
1971,0.00159
1972,0.00176
1973,0.00195
1974,0.00216
1975,0.00239
1976,0.00262
1977,0.00285
1978,0.0030800000000000003
1979,0.0033
1980,0.0035
1981,0.00369
1982,0.00387
1983,0.00405
1984,0.00423
1985,0.00442
1986,0.0046
1987,0.0048
1988,0.00501
1989,0.00524
1990,0.00523
1991,0.0342
1992,0.054200000000000005
1993,0.0845
1994,0.198
1995,0.334
1996,0.513
1997,0.7
1998,0.941
1999,1.36
2000,2.5
2001,2.69
2002,2.94
2003,2.85
2004,3.06
2005,3.28
2006,3.39
2007,3.58
2008,3.4
2009,3.34
2010,3.53
2011,3.68
2012,3.94
2013,3.92
2014,4.1
2015,4.2
2016,4.38
2017,4.48
2018,4.72
2019,4.51
2020,4.94
2021,5.38
2022,5.81
2023,6.24
