year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,2.39e-07
1851,2.39e-07
1852,2.39e-07
1853,2.39e-07
1854,2.39e-07
1855,2.39e-07
1856,2.39e-07
1857,2.39e-07
1858,2.39e-07
1859,2.39e-07
1860,2.39e-07
1861,2.39e-07
1862,2.39e-07
1863,2.39e-07
1864,2.39e-07
1865,2.39e-07
1866,2.39e-07
1867,2.39e-07
1868,2.39e-07
1869,2.39e-07
1870,2.39e-07
1871,2.39e-07
1872,2.39e-07
1873,2.39e-07
1874,2.39e-07
1875,2.39e-07
1876,2.39e-07
1877,2.39e-07
1878,2.39e-07
1879,2.39e-07
1880,2.39e-07
1881,2.39e-07
1882,2.39e-07
1883,2.39e-07
1884,2.39e-07
1885,2.39e-07
1886,2.39e-07
1887,2.39e-07
1888,2.39e-07
1889,2.39e-07
1890,2.39e-07
1891,2.74e-07
1892,3.6900000000000004e-07
1893,5.119999999999999e-07
1894,6.930000000000001e-07
1895,8.99e-07
1896,1.1199999999999999e-06
1897,1.34e-06
1898,1.55e-06
1899,1.74e-06
1900,1.89e-06
1901,2.02e-06
1902,2.13e-06
1903,2.2399999999999997e-06
1904,2.34e-06
1905,2.44e-06
1906,2.5400000000000002e-06
1907,2.64e-06
1908,2.75e-06
1909,2.87e-06
1910,3e-06
1911,3.14e-06
1912,3.29e-06
1913,3.45e-06
1914,3.63e-06
1915,3.81e-06
1916,4e-06
1917,4.1900000000000005e-06
1918,4.4e-06
1919,4.62e-06
1920,4.85e-06
1921,5.88e-06
1922,8.33e-06
1923,1.1900000000000001e-05
1924,1.6400000000000002e-05
1925,2.14e-05
1926,2.68e-05
1927,3.22e-05
1928,3.74e-05
1929,4.21e-05
1930,4.61e-05
1931,4.94e-05
1932,5.2699999999999993e-05
1933,5.58e-05
1934,5.88e-05
1935,6.17e-05
1936,6.469999999999999e-05
1937,6.759999999999999e-05
1938,7.06e-05
1939,7.36e-05
1940,7.68e-05
1941,8.72e-05
1942,0.00011
1943,0.00014399999999999998
1944,0.000187
1945,0.000235
1946,0.00028799999999999995
1947,0.000342
1948,0.00039600000000000003
1949,0.000447
1950,0.000493
1951,0.000537
1952,0.0005809999999999999
1953,0.000625
1954,0.00067
1955,0.0007149999999999999
1956,0.000761
1957,0.0008060000000000001
1958,0.000853
1959,0.0008990000000000001
1960,0.0009459999999999999
1961,0.00099
1962,0.00103
1963,0.00107
1964,0.00111
1965,0.00115
1966,0.0012
1967,0.00125
1968,0.0013
1969,0.00136
1970,0.00139
1971,0.0014299999999999998
1972,0.00146
1973,0.0015
1974,0.0015300000000000001
1975,0.00157
1976,0.00161
1977,0.00164
1978,0.0016799999999999999
1979,0.00172
1980,0.00177
1981,0.0018
1982,0.00184
1983,0.0018700000000000001
1984,0.00191
1985,0.00195
1986,0.00199
1987,0.00204
1988,0.00209
1989,0.00214
1990,0.00218
1991,0.00226
1992,0.00237
1993,0.0025800000000000003
1994,0.0029500000000000004
1995,0.0042699999999999995
1996,0.00575
1997,0.00745
1998,0.00926
1999,0.0111
2000,0.013300000000000001
2001,0.0162
2002,0.0201
2003,0.0249
2004,0.0313
2005,0.039700000000000006
2006,0.0432
2007,0.0485
2008,0.0538
2009,0.0579
2010,0.06409999999999999
2011,0.06709999999999999
2012,0.0705
2013,0.0755
2014,0.07890000000000001
2015,0.0808
2016,0.0848
2017,0.0839
2018,0.0842
2019,0.0825
2020,0.0691
2021,0.0907
