year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,3e-10
1922,1.1099999999999999e-09
1923,2.31e-09
1924,3.77e-09
1925,5.35e-09
1926,6.93e-09
1927,8.39e-09
1928,9.59e-09
1929,1.04e-08
1930,1.07e-08
1931,1.05e-08
1932,9.8e-09
1933,8.83e-09
1934,7.659999999999999e-09
1935,6.38e-09
1936,5.1e-09
1937,3.92e-09
1938,2.95e-09
1939,2.3e-09
1940,2.0499999999999997e-09
1941,2.0999999999999998e-09
1942,2.21e-09
1943,2.4e-09
1944,2.64e-09
1945,2.93e-09
1946,3.2499999999999997e-09
1947,3.6e-09
1948,3.97e-09
1949,4.35e-09
1950,4.73e-09
1951,5.13e-09
1952,5.57e-09
1953,6.07e-09
1954,6.61e-09
1955,7.2e-09
1956,7.84e-09
1957,8.53e-09
1958,9.27e-09
1959,1.01e-08
1960,1.09e-08
1961,1.18e-08
1962,1.29e-08
1963,1.42e-08
1964,1.56e-08
1965,1.7200000000000002e-08
1966,1.88e-08
1967,2.0699999999999997e-08
1968,2.26e-08
1969,2.4600000000000002e-08
1970,2.6800000000000002e-08
1971,2.93e-08
1972,3.24e-08
1973,3.59e-08
1974,3.98e-08
1975,4.39e-08
1976,4.8099999999999994e-08
1977,5.24e-08
1978,5.66e-08
1979,6.07e-08
1980,6.44e-08
1981,6.789999999999999e-08
1982,7.13e-08
1983,7.459999999999999e-08
1984,7.79e-08
1985,8.12e-08
1986,8.47e-08
1987,8.83e-08
1988,9.22e-08
1989,9.63e-08
1990,9.610000000000001e-08
1991,5.98e-06
1992,6.6e-05
1993,0.000147
1994,0.00035999999999999997
1995,0.00107
1996,0.0013700000000000001
1997,0.00172
1998,0.0022400000000000002
1999,0.00281
2000,0.00362
2001,0.00444
2002,0.00512
2003,0.00571
2004,0.00633
2005,0.00664
2006,0.007019999999999999
2007,0.0077800000000000005
2008,0.00834
2009,0.00793
2010,0.00836
2011,0.00879
2012,0.0091
2013,0.00924
2014,0.0094
2015,0.00942
2016,0.00904
2017,0.009300000000000001
2018,0.00945
2019,0.00912
2020,0.00868
2021,0.00805
2022,0.00838
