year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.107
1922,0.398
1923,0.827
1924,1.35
1925,1.92
1926,2.48
1927,3.0
1928,3.43
1929,3.72
1930,3.83
1931,3.74
1932,3.51
1933,3.16
1934,2.74
1935,2.28
1936,1.82
1937,1.4
1938,1.06
1939,0.822
1940,0.735
1941,0.75
1942,0.792
1943,0.858
1944,0.944
1945,1.05
1946,1.16
1947,1.29
1948,1.42
1949,1.56
1950,1.69
1951,1.84
1952,1.99
1953,2.17
1954,2.37
1955,2.58
1956,2.81
1957,3.05
1958,3.32
1959,3.6
1960,3.9
1961,4.23
1962,4.63
1963,5.09
1964,5.6
1965,6.16
1966,6.77
1967,7.42
1968,8.12
1969,8.86
1970,10.3
1971,11.0
1972,11.3
1973,13.2
1974,14.6
1975,12.9
1976,15.4
1977,17.0
1978,18.5
1979,19.2
1980,20.2
1981,20.7
1982,19.3
1983,22.1
1984,23.1
1985,22.9
1986,24.2
1987,25.0
1988,28.9
1989,30.7
1990,29.3
1991,28.5
1992,27.7
1993,28.8
1994,36.4
1995,43.0
1996,53.7
1997,62.1
1998,78.8
1999,95.2
2000,113.0
2001,123.0
2002,139.0
2003,150.0
2004,170.0
2005,188.0
2006,209.0
2007,227.0
2008,243.0
2009,269.0
2010,304.0
2011,309.0
2012,305.0
2013,304.0
2014,313.0
2015,318.0
2016,315.0
2017,316.0
2018,314.0
2019,323.0
