year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.00027400000000000005
1851,0.00027400000000000005
1852,0.00027400000000000005
1853,0.00027400000000000005
1854,0.00027400000000000005
1855,0.00027400000000000005
1856,0.00027400000000000005
1857,0.00027400000000000005
1858,0.00027400000000000005
1859,0.00027400000000000005
1860,0.00027400000000000005
1861,0.00027400000000000005
1862,0.00027400000000000005
1863,0.00027400000000000005
1864,0.00027400000000000005
1865,0.00027400000000000005
1866,0.00027400000000000005
1867,0.00027400000000000005
1868,0.00027400000000000005
1869,0.00027400000000000005
1870,0.00027400000000000005
1871,0.00027400000000000005
1872,0.00027400000000000005
1873,0.00027400000000000005
1874,0.00027400000000000005
1875,0.00027400000000000005
1876,0.00027400000000000005
1877,0.00027400000000000005
1878,0.00027400000000000005
1879,0.00027400000000000005
1880,0.00027400000000000005
1881,0.00027400000000000005
1882,0.00027400000000000005
1883,0.00027400000000000005
1884,0.00027400000000000005
1885,0.00027400000000000005
1886,0.00027400000000000005
1887,0.00027400000000000005
1888,0.00027400000000000005
1889,0.00027400000000000005
1890,0.00027400000000000005
1891,0.00032
1892,0.000447
1893,0.00064
1894,0.000882
1895,0.00116
1896,0.00145
1897,0.00175
1898,0.0020299999999999997
1899,0.00228
1900,0.00248
1901,0.00265
1902,0.00281
1903,0.0029500000000000004
1904,0.0030800000000000003
1905,0.00321
1906,0.00335
1907,0.00348
1908,0.00363
1909,0.00379
1910,0.00396
1911,0.0041600000000000005
1912,0.00436
1913,0.00458
1914,0.0048
1915,0.00505
1916,0.0053
1917,0.00557
1918,0.00584
1919,0.00613
1920,0.00644
1921,0.0129
1922,0.030100000000000002
1923,0.055299999999999995
1924,0.0861
1925,0.12
1926,0.154
1927,0.186
1928,0.213
1929,0.232
1930,0.242
1931,0.242
1932,0.234
1933,0.221
1934,0.204
1935,0.185
1936,0.166
1937,0.149
1938,0.135
1939,0.127
1940,0.127
1941,0.131
1942,0.137
1943,0.144
1944,0.152
1945,0.162
1946,0.172
1947,0.183
1948,0.195
1949,0.207
1950,0.22
1951,0.233
1952,0.248
1953,0.264
1954,0.282
1955,0.301
1956,0.321
1957,0.343
1958,0.365
1959,0.389
1960,0.414
1961,0.442
1962,0.474
1963,0.51
1964,0.549
1965,0.591
1966,0.635
1967,0.681
1968,0.727
1969,0.781
1970,0.868
1971,0.981
1972,1.01
1973,1.13
1974,1.25
1975,1.17
1976,1.38
1977,1.52
1978,1.66
1979,1.77
1980,1.89
1981,2.02
1982,1.96
1983,2.2
1984,2.37
1985,2.42
1986,2.66
1987,3.17
1988,3.59
1989,3.82
1990,2.89
1991,3.06
1992,1.99
1993,2.86
1994,2.45
1995,2.4
1996,5.34
1997,5.57
1998,4.74
1999,6.22
2000,5.09
2001,4.16
2002,5.62
2003,8.18
2004,10.6
2005,16.1
2006,21.5
2007,22.6
2008,25.0
2009,28.0
2010,45.1
2011,12.6
2012,11.6
2013,12.1
2014,13.7
2015,12.3
2016,21.5
2017,22.1
2018,22.7
2019,23.3
