year,IPC2
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,5.98e-10
1942,2.27e-09
1943,4.81e-09
1944,8.06e-09
1945,1.18e-08
1946,1.59e-08
1947,2.01e-08
1948,2.4199999999999998e-08
1949,2.81e-08
1950,3.15e-08
1951,3.46e-08
1952,3.7799999999999994e-08
1953,4.1e-08
1954,4.4100000000000004e-08
1955,4.73e-08
1956,5.04e-08
1957,5.3600000000000004e-08
1958,5.6700000000000005e-08
1959,5.99e-08
1960,6.31e-08
1961,6.600000000000001e-08
1962,6.86e-08
1963,7.1e-08
1964,7.33e-08
1965,7.58e-08
1966,7.84e-08
1967,8.150000000000001e-08
1968,8.52e-08
1969,8.96e-08
1970,9.09e-08
1971,9.280000000000001e-08
1972,9.47e-08
1973,9.66e-08
1974,9.86e-08
1975,1.01e-07
1976,1.03e-07
1977,1.05e-07
1978,1.07e-07
1979,1.0900000000000001e-07
1980,1.11e-07
1981,1.14e-07
1982,1.16e-07
1983,1.18e-07
1984,1.21e-07
1985,1.23e-07
1986,1.26e-07
1987,1.2799999999999998e-07
1988,1.3100000000000002e-07
1989,1.33e-07
1990,1.36e-07
1991,1.39e-07
1992,1.42e-07
1993,1.45e-07
1994,1.48e-07
1995,1.5100000000000002e-07
1996,1.54e-07
1997,1.57e-07
1998,1.6e-07
1999,5.15e-07
2000,5.429999999999999e-07
2001,8.13e-07
2002,5e-07
2003,3.1e-07
2004,1.91e-07
2005,2.34e-07
2006,1.88e-07
2007,1.91e-07
2008,1.9499999999999999e-07
2009,1.9900000000000002e-07
2010,2.02e-07
2011,2.17e-07
2012,2.2599999999999999e-07
2013,2.03e-07
2014,1.9499999999999999e-07
2015,1.91e-07
2016,1.92e-07
2017,1.8100000000000002e-07
2018,1.72e-07
2019,1.66e-07
